id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
514600,665197,25000.0,25000.0,24536.9152958, 36 months,13.11,843.63,C,C2,Manhattan Beach Unified School District,10+ years,RENT,72612.0,Verified,May-2010,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=514600,"  Borrower added on 05/10/10 > We had debt and had to split it.  I make good money and have been with the same job for 22 years.  To pay off my portion of the debt will take the rest of my life.  With this loan, I can be debt free in 3 years and get on with my life.  Thank you so much for believing in me!<br/> Borrower added on 05/10/10 > I got a divorce and half the bills.  I make decent money, but not enough to really get down and pay these off. It will take me the rest of my life.  I have never, ever been late on any payment to anyone.  With this loan, I can pay these off in 3 years!  Thank you for your consideration.<br/>",debt_consolidation,"Make great money, but got a divorce!  Help!",902xx,CA,17.68,0.0,Feb-1993,3.0,,,10.0,0.0,31800.0,92.2,40.0,f,0.0,0.0,30366.25,29721.0,25000.0,5366.25,0.0,0.0,0.0,May-2013,866.3,,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
7946684,9668704,16000.0,16000.0,16000.0, 36 months,17.1,571.25,C,C5,Registered Nurse,5 years,RENT,78624.0,Not Verified,Oct-2013,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=7946684,,debt_consolidation,DC loan,760xx,TX,19.02,2.0,Oct-1999,0.0,11.0,,12.0,0.0,14915.0,66.0,48.0,w,0.0,0.0,18227.142710900003,18227.14,16000.0,2227.14,0.0,0.0,0.0,Sep-2014,12514.64,,Dec-2015,0.0,17.0,1.0,INDIVIDUAL,,,,0.0,0.0,96880.0,,,,,,,,,,,,22600.0,,,
1424426,1675724,11000.0,11000.0,11000.0, 36 months,13.11,371.22,B,B4,"Fenner Dunlop Americas, Inc.",3 years,OWN,40000.0,Not Verified,Aug-2012,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1424426,,debt_consolidation,Debt consolidation,305xx,GA,14.97,0.0,May-2002,1.0,80.0,,7.0,0.0,11631.0,30.2,18.0,f,0.0,0.0,12089.86,12089.86,11000.0,1089.86,0.0,0.0,0.0,Jul-2013,7232.11,,Jul-2013,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
67307463,72109229,6000.0,6000.0,6000.0, 36 months,9.17,191.28,B,B2,"Supervisor, HR Spec",10+ years,MORTGAGE,54000.0,Source Verified,Dec-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=67307463,,home_improvement,Home improvement,427xx,KY,21.24,0.0,Aug-1992,0.0,55.0,,9.0,0.0,15458.0,77.3,20.0,w,5854.57,5854.57,185.17,185.17,145.43,39.74,0.0,0.0,0.0,Jan-2016,191.28,Feb-2016,Jan-2016,0.0,55.0,1.0,INDIVIDUAL,,,,0.0,0.0,174388.0,0.0,3.0,1.0,2.0,7.0,14312.0,55.3,0.0,2.0,2570.0,64.9,20000.0,0.0,6.0,1.0
12845995,14868136,35000.0,35000.0,34900.0, 36 months,11.99,1162.34,B,B3,RN ,5 years,OWN,140000.0,Verified,Mar-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12845995,  Borrower added on 03/12/14 > This loan is to payoff my credit card bills from chase and American express accounts and start saving.<br>,credit_card,Credit card refinancing,065xx,CT,14.88,1.0,May-1995,0.0,4.0,,19.0,0.0,38143.0,26.3,56.0,f,16116.71,16070.66,24409.14,24339.4,18883.29,5525.85,0.0,0.0,0.0,Dec-2015,1162.34,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,338872.0,,,,,,,,,,,,170900.0,,,
52888369,56388092,15000.0,15000.0,15000.0, 36 months,14.65,517.42,C,C5,Associate Program Director,< 1 year,RENT,55000.0,Not Verified,Jun-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=52888369,,debt_consolidation,Debt consolidation,104xx,NY,15.73,0.0,Feb-2005,0.0,,,15.0,0.0,22550.0,60.1,26.0,f,12572.46,12572.46,3609.73,3609.73,2427.54,1182.19,0.0,0.0,0.0,Jan-2016,517.42,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,51927.0,,,,,,,,,,,,37500.0,,,
6695733,4580711,25050.0,25050.0,25050.0, 36 months,11.99,831.9,B,B3,Senior Staff Accountant,4 years,MORTGAGE,72000.0,Source Verified,Dec-2013,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=6695733,,debt_consolidation,Consolidation Loan,729xx,AR,27.1,0.0,Mar-1996,1.0,47.0,,15.0,0.0,22546.0,64.4,52.0,w,0.0,0.0,29206.67,29206.67,25050.0,4156.67,0.0,0.0,0.0,Nov-2015,11736.77,,Nov-2015,0.0,47.0,1.0,INDIVIDUAL,,,,0.0,0.0,246022.0,,,,,,,,,,,,35000.0,,,
27671722,30184869,8000.0,8000.0,8000.0, 36 months,7.12,247.46,A,A3,Correctional Officer,10+ years,RENT,48000.0,Verified,Oct-2014,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=27671722,,debt_consolidation,Debt consolidation,226xx,VA,6.08,0.0,Jun-1998,0.0,,,16.0,0.0,9451.0,14.5,41.0,w,0.0,0.0,8478.4,8478.4,8000.0,478.4,0.0,0.0,0.0,Sep-2015,6011.71,,Oct-2015,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,9451.0,,,,,,,,,,,,65300.0,,,
20671251,22943761,20000.0,20000.0,20000.0, 36 months,16.99,712.96,D,D3,Leadman,10+ years,MORTGAGE,90000.0,Source Verified,Jul-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=20671251,,debt_consolidation,Debt consolidation,190xx,PA,34.27,0.0,Aug-1992,0.0,,,19.0,0.0,44906.0,48.5,37.0,w,11804.33,11804.33,12120.32,12120.32,8195.67,3924.65,0.0,0.0,0.0,Dec-2015,712.96,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,189454.0,,,,,,,,,,,,92500.0,,,
59259255,63146973,8000.0,8000.0,8000.0, 36 months,11.53,263.93,B,B5,ScreenPrinter,2 years,RENT,22880.0,Verified,Sep-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=59259255,,debt_consolidation,Debt consolidation,565xx,MN,23.08,0.0,Aug-2000,2.0,,,11.0,0.0,2635.0,10.4,15.0,f,7240.89,7240.89,1050.6,1050.6,759.11,291.49,0.0,0.0,0.0,Jan-2016,263.93,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,54.0,13844.0,,,,,,,,,,,,25300.0,,,
726700,922135,3000.0,3000.0,3000.0, 36 months,9.63,96.29,B,B1,Comverse,5 years,MORTGAGE,70000.0,Not Verified,Apr-2011,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=726700,,small_business,side business loan,080xx,NJ,8.66,0.0,May-2001,2.0,41.0,,14.0,0.0,12712.0,54.6,30.0,f,0.0,0.0,3465.11356222,3465.11,3000.0,465.11,0.0,0.0,0.0,May-2014,101.76,,Apr-2014,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
51146868,54556623,21000.0,21000.0,21000.0, 36 months,6.24,641.15,A,A2,Director of Operations,10+ years,MORTGAGE,105000.0,Source Verified,Jun-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=51146868,,debt_consolidation,Debt consolidation,604xx,IL,11.7,1.0,Aug-1996,1.0,11.0,,12.0,0.0,13913.0,51.7,22.0,w,17217.75,17217.75,4480.77,4480.77,3782.25,698.52,0.0,0.0,0.0,Jan-2016,641.15,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,206779.0,,,,,,,,,,,,26900.0,,,
38536671,41320495,16800.0,16800.0,16800.0, 36 months,17.14,600.14,D,D4,Business Analyst,8 years,MORTGAGE,50000.0,Source Verified,Jan-2015,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=38536671,,debt_consolidation,Debt consolidation,307xx,GA,30.1,0.0,Jan-2005,0.0,,,6.0,0.0,7948.0,87.3,21.0,f,0.0,0.0,18312.22,18312.22,16800.0,1512.22,0.0,0.0,0.0,Jul-2015,15327.52,,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,177170.0,,,,,,,,,,,,9100.0,,,
4195847,5338112,20000.0,20000.0,20000.0, 60 months,21.98,552.16,E,E4,Kenco Transportation,4 years,MORTGAGE,48600.0,Verified,Apr-2013,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=4195847,,debt_consolidation,great chance,373xx,TN,17.33,0.0,Dec-1998,1.0,,,6.0,0.0,7368.0,93.3,17.0,f,11678.61,11678.61,18220.29,18220.29,8321.39,9898.9,0.0,0.0,0.0,Jan-2016,552.16,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,144224.0,,,,,,,,,,,,7900.0,,,
49136296,52445015,33500.0,33500.0,33500.0, 36 months,15.61,1171.33,D,D1,Accountant,10+ years,MORTGAGE,67000.0,Verified,May-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=49136296,,credit_card,Credit card refinancing,704xx,LA,39.68,0.0,Jun-1968,1.0,26.0,,14.0,0.0,39135.0,81.2,31.0,f,28145.81,28145.81,8359.09,8359.09,5354.19,3004.9,0.0,0.0,0.0,Jan-2016,1171.33,Jan-2016,Jan-2016,0.0,26.0,1.0,INDIVIDUAL,,,,0.0,0.0,57924.0,,,,,,,,,,,,48200.0,,,
15770779,17863232,8050.0,8050.0,8050.0, 36 months,17.57,289.3,D,D4,Controls System Specialist,2 years,MORTGAGE,75500.0,Verified,Oct-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=15770779,,small_business,Business,371xx,TN,28.37,0.0,Aug-2007,1.0,43.0,,10.0,0.0,1312.0,24.8,17.0,f,5197.44,5197.44,4331.64,4331.64,2852.56,1479.08,0.0,0.0,0.0,Jan-2016,289.3,Feb-2016,Jan-2016,0.0,45.0,1.0,INDIVIDUAL,,,,0.0,0.0,176744.0,,,,,,,,,,,,5300.0,,,
57155831,60858607,10000.0,10000.0,10000.0, 36 months,12.29,333.53,C,C1,bookkeeper,10+ years,RENT,32000.0,Source Verified,Aug-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57155831,,debt_consolidation,Debt consolidation,329xx,FL,34.36,0.0,Feb-1995,0.0,,87.0,12.0,1.0,24637.0,71.2,22.0,f,8820.52,8820.52,1660.82,1660.82,1179.48,481.34,0.0,0.0,0.0,Jan-2016,333.53,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,29548.0,,,,,,,,,,,,34600.0,,,
13517942,15570233,10000.0,10000.0,10000.0, 36 months,11.99,332.1,B,B3,Senior General Manager,8 years,MORTGAGE,80000.0,Source Verified,Apr-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=13517942,,debt_consolidation,Debt consolidation,301xx,GA,22.46,2.0,Jun-2000,0.0,10.0,5.0,13.0,1.0,6695.0,64.4,33.0,f,4604.71,4604.71,6974.1,6974.1,5395.29,1578.81,0.0,0.0,0.0,Jan-2016,332.1,Feb-2016,Jan-2016,0.0,10.0,1.0,INDIVIDUAL,,,,0.0,341.0,199505.0,,,,,,,,,,,,10400.0,,,
20769310,23042042,16000.0,16000.0,16000.0, 36 months,14.99,554.57,C,C5,Applicaitons Engineer,2 years,RENT,98800.0,Source Verified,Jul-2014,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=20769310,,debt_consolidation,Debt consolidation,910xx,CA,12.04,0.0,Mar-2004,0.0,59.0,105.0,5.0,1.0,4872.0,91.9,13.0,f,0.0,0.0,17914.88,17914.88,16000.0,1914.88,0.0,0.0,0.0,May-2015,12923.75,,Jan-2016,0.0,70.0,1.0,INDIVIDUAL,,,,0.0,0.0,31067.0,,,,,,,,,,,,5300.0,,,
68009420,72868158,32850.0,32850.0,32850.0, 36 months,13.18,1109.7,C,C3,Senior Field ,10+ years,MORTGAGE,125000.0,Source Verified,Dec-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68009420,,debt_consolidation,Debt consolidation,280xx,NC,13.86,1.0,Jun-2005,1.0,9.0,,8.0,0.0,11760.0,26.8,19.0,w,32850.0,32850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Feb-2016,Jan-2016,0.0,9.0,1.0,INDIVIDUAL,,,,0.0,901.0,30514.0,0.0,1.0,0.0,1.0,17.0,18754.0,62.5,1.0,2.0,3475.0,41.3,43800.0,0.0,0.0,1.0
64390213,68859926,12000.0,12000.0,12000.0, 36 months,6.24,366.37,A,A2,Psychological Assistant,< 1 year,MORTGAGE,75000.0,Not Verified,Nov-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=64390213,,debt_consolidation,Debt consolidation,946xx,CA,5.79,0.0,Apr-1993,0.0,43.0,,18.0,0.0,16113.0,35.3,28.0,w,11390.48,11390.48,724.42,724.42,609.52,114.9,0.0,0.0,0.0,Jan-2016,366.37,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,217823.0,,,,,,,,,,,,45600.0,,,
31627676,34230863,13500.0,13500.0,13500.0, 60 months,16.29,330.38,D,D2,,,RENT,50000.0,Source Verified,Oct-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=31627676,,home_improvement,Home improvement,010xx,MA,8.83,0.0,Mar-1992,1.0,,52.0,5.0,2.0,4327.0,61.8,11.0,w,11248.37,11248.37,4613.1,4613.1,2251.63,2361.47,0.0,0.0,0.0,Dec-2015,330.38,Jan-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,10327.0,,,,,,,,,,,,7000.0,,,
11435275,13367440,34000.0,34000.0,33875.0, 36 months,8.9,1079.61,A,A5,Administrative Assistant,< 1 year,MORTGAGE,75000.0,Verified,Mar-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=11435275,,credit_card,Credit card refinancing,968xx,HI,15.18,0.0,Mar-1994,1.0,,,9.0,0.0,33932.0,62.1,22.0,w,14306.0,14253.4,23751.42,23664.1,19694.0,4057.42,0.0,0.0,0.0,Jan-2016,1079.61,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,70998.0,,,,,,,,,,,,54600.0,,,
63508803,67851636,5600.0,5600.0,5600.0, 36 months,13.99,191.37,C,C4,Lead maintenance,10+ years,MORTGAGE,45000.0,Verified,Oct-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63508803,,debt_consolidation,Debt consolidation,560xx,MN,7.65,0.0,Oct-2003,0.0,,83.0,3.0,1.0,4903.0,74.3,15.0,w,5346.36,5346.36,374.04,374.04,253.64,120.4,0.0,0.0,0.0,Jan-2016,191.37,Jan-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,4903.0,,,,,,,,,,,,6600.0,,,
1082359,1319241,6000.0,6000.0,6000.0, 36 months,7.9,187.75,A,A4,,6 years,MORTGAGE,150000.0,Source Verified,May-2012,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1082359,"  Borrower added on 04/30/12 > Hello. I am medical professional with a stable, fast growing career. I have a proven track record as a reliable and responsible individual. This loan will allow us to pay off higher interest credit cards and quickly get on the track to becoming debt free. Thank you for your consideration.<br><br> Borrower added on 04/30/12 > Hello. I am a successful health care professional in a stable, growing profession. I am requesting this loan to consolidate higher interest credit card debt. I have a proven track record as a reliable and responsible individual. Thank you for your consideration. Feel free to ask any questions.<br><br>  Borrower added on 05/01/12 > oops -  didn't mean to post that twice.<br>",debt_consolidation,Safe Investment,719xx,AR,13.39,0.0,Dec-1999,4.0,,,12.0,0.0,17156.0,39.0,29.0,f,0.0,0.0,6757.61053646,6757.61,6000.0,757.61,0.0,0.0,0.0,May-2015,193.08,,May-2015,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
27491766,29994909,12175.0,12175.0,12175.0, 36 months,19.52,449.5,E,E2,deputy sheriff ,10+ years,MORTGAGE,65000.0,Not Verified,Sep-2014,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=27491766,,debt_consolidation,Debt consolidation,982xx,WA,20.64,1.0,May-1998,2.0,16.0,,12.0,0.0,3584.0,44.8,29.0,w,0.0,0.0,4495.0,4495.0,2706.81,1788.19,0.0,0.0,0.0,Jul-2015,449.5,,Dec-2015,0.0,16.0,1.0,INDIVIDUAL,,,,0.0,0.0,241362.0,,,,,,,,,,,,8000.0,,,
38438612,41222488,12000.0,12000.0,12000.0, 36 months,11.44,395.37,B,B4,Attorney,2 years,RENT,85000.0,Verified,Jan-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=38438612,,credit_card,Credit card refinancing,100xx,NY,5.41,0.0,Sep-2000,2.0,,,23.0,0.0,13452.0,92.1,62.0,f,8445.83,8445.83,4729.19,4729.19,3554.17,1175.02,0.0,0.0,0.0,Jan-2016,395.37,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,305362.0,,,,,,,,,,,,14600.0,,,
